generation,individual_id,green,yellow,red,speed,seed,fitness
11,7,19,3,19,100,1408,12619.5
11,8,19,3,19,100,1408,12619.5
11,9,19,3,19,100,1408,12619.5
11,10,19,3,19,100,1408,12619.5
11,11,19,3,19,100,1408,12619.5
11,12,19,3,19,100,1408,12619.5
11,13,19,3,19,100,1408,12619.5
11,14,19,3,19,100,1408,12619.5
11,15,19,3,19,100,1408,12619.5
12,0,19,3,19,100,1408,12619.5
12,1,19,7,19,60,1408,19650.699999999997
12,2,19,3,19,100,1408,12619.5
12,3,19,3,19,100,1408,12619.5
12,4,19,3,19,100,1408,12619.5
12,5,19,3,19,100,1408,12619.5
12,6,19,3,19,100,1408,12619.5
12,7,19,3,44,100,1408,25143.3
12,8,19,3,19,100,1408,12619.5
12,9,19,3,19,100,1408,12619.5
12,10,19,3,19,60,1408,13982.599999999999
12,11,19,3,55,100,1408,55986.7
12,12,19,3,19,100,1408,12619.5
12,13,19,3,19,100,1408,12619.5
12,14,19,3,32,100,1408,16828.6
12,15,19,3,19,100,1408,12619.5
12,16,19,3,19,100,1408,12619.5
12,17,19,3,19,100,1408,12619.5
12,18,19,3,19,100,1408,12619.5
12,19,60,3,19,100,1408,64860.7
12,20,19,3,19,100,1408,12619.5
12,21,19,3,19,100,1408,12619.5
12,22,23,8,19,100,1408,21751.699999999997
12,23,29,3,19,100,1408,15979.3
12,24,19,3,19,100,1408,12619.5
13,0,45,3,19,100,1408,34644.899999999994
13,1,19,5,19,100,1408,15161.099999999999
13,2,19,3,19,100,1408,12619.5
13,3,19,3,19,100,1408,12619.5
13,4,19,3,19,100,1408,12619.5
13,5,19,3,19,100,1408,12619.5
13,6,19,3,19,100,1408,12619.5
13,7,19,3,19,100,1408,12619.5
13,8,19,3,19,100,1408,12619.5
13,9,19,3,19,100,1408,12619.5
13,10,19,3,28,100,1408,15288.4
13,11,19,3,19,100,1408,12619.5
13,12,19,3,19,100,1408,12619.5
13,13,19,3,29,100,1408,16789.0
13,14,19,3,19,100,1408,12619.5
13,15,19,3,19,100,1408,12619.5
13,16,19,3,19,100,1408,12619.5
13,17,29,3,19,100,1408,15979.3
13,18,52,3,19,100,1408,49087.899999999994
13,19,19,3,16,100,1408,12511.2
13,20,13,3,19,80,1408,14235.0
13,21,19,3,19,100,1408,12619.5
13,22,19,3,19,100,1408,12619.5
13,23,19,3,19,100,1408,12619.5
14,0,19,3,19,100,1408,12619.5
14,1,19,3,19,100,1408,12619.5
14,2,19,3,19,100,1408,12619.5
14,3,19,3,19,100,1408,12619.5
14,4,19,3,19,100,1408,12619.5
14,5,19,3,19,100,1408,12619.5
14,6,19,3,19,100,1408,12619.5
14,7,19,3,19,100,1408,12619.5
14,8,19,4,19,100,1408,13710.7
14,9,32,4,19,100,1408,19719.5
14,10,19,3,16,100,1408,12511.2
14,11,19,3,17,100,1408,12736.4
14,12,19,7,19,100,1408,18139.6
14,13,19,3,19,100,1408,12619.5
14,14,19,3,19,100,1408,12619.5
14,15,19,3,19,100,1408,12619.5
14,16,19,5,28,100,1408,18152.6
14,17,19,3,19,100,1408,12619.5
14,18,19,3,19,100,1408,12619.5
14,19,19,3,19,100,1408,12619.5
14,20,19,5,19,100,1408,15161.099999999999
14,21,19,8,19,100,1408,21671.9
15,0,19,3,19,60,1408,13982.599999999999
15,1,19,3,19,100,1408,12619.5
15,2,19,3,19,100,1408,12619.5
15,3,19,7,19,100,1408,18139.6
15,4,54,3,19,100,1408,60328.8
15,5,19,3,19,100,1408,12619.5
15,6,19,3,19,100,1408,12619.5
15,7,19,3,19,100,1408,12619.5
15,8,19,3,19,100,1408,12619.5
15,9,19,3,19,100,1408,12619.5
15,10,19,3,19,100,1408,12619.5
15,11,19,8,16,100,1408,19104.0
15,12,19,3,19,100,1408,12619.5
15,13,19,3,19,100,1408,12619.5
15,14,19,3,19,100,1408,12619.5
15,15,19,3,19,100,1408,12619.5
15,16,19,3,19,100,1408,12619.5
15,17,19,3,16,100,1408,12511.2
15,18,45,3,19,100,1408,34644.899999999994
15,19,19,3,19,100,1408,12619.5
15,20,19,3,19,100,1408,12619.5
15,21,19,7,19,100,1408,18139.6
16,0,19,3,36,100,1408,20642.6
16,1,19,6,19,60,1408,18271.6
16,2,19,3,16,100,1408,12511.2
